Diff,Tau,Ramp,LoadD,LoadD_tag,is_avg,ms_nr,ms_nr_ratio,Fo_diff,Fo_visc,Slip_unload,Slip_Ratio,Mech_unload,Total_unload,Mech_Ratio,SlipCount_unload,Plastic_unload,Mech_no_Plastic,Mech_max_unload,Mech_max_ratio,Slip_end,BrokenFibers_unload,BrokenFibers_end,Slip_per_strain_unload,Slip_per_strain_end,CSV_path
100.0,0.001,0.0,0.9,0p9,False,,,0.10723716840243021,5.029470779312351,0.9290548,0.2701766426439805,,3.438694,,23055.0,0.1190752419377822,,,,45746.0,39602.0,39144.0,6704.580285422315,111721.85093404703,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p9/Tau_0.001/all.csv
100.0,0.01,0.0,0.9,0p9,False,,,0.10723716840243021,0.5029470779312348,0.8938202,0.2610726108949348,,3.423646,,22265.0,0.11930351444045324,,,,44782.0,39650.0,39154.0,6503.300866970475,109638.07341358736,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p9/Tau_0.01/all.csv
100.0,0.1,0.0,0.9,0p9,False,,,0.10723716840243021,0.05029470779312349,0.84751624,0.24973877088446497,,3.393611,,21696.0,0.11779853377420099,,,,43789.0,39658.0,39156.0,6393.190026788574,109537.5653137964,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p9/Tau_0.1/all.csv
100.0,0.0001,10.0,0.2,0p2,False,-0.0047125034,-0.006686959819084274,0.10723716840243021,50.29470779312352,0.004929454,0.00699480892215892,0.0054793726,0.70473033,0.0077751337877000415,1255.0,0.2557560563627225,-0.24798092257502244,0.009246694,0.013120896896831446,1993.0,39945.0,39937.0,1780.8230277246619,11057.537198514972,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_10%/LoadD_0p2/Tau_0.0001/all.csv
100.0,0.001,10.0,0.2,0p2,False,-0.004663972,-0.006613213881865851,0.10723716840243021,5.029470779312351,0.004975064,0.007054322433318865,0.004439686,0.70525044,0.006295190684319176,1249.0,0.255608532481029,-0.24931334179670983,0.00803521,0.011393413664513274,2005.0,39946.0,39936.0,1771.0020854435766,11122.327125891374,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_10%/LoadD_0p2/Tau_0.001/all.csv
100.0,0.01,10.0,0.2,0p2,False,-0.005066164,-0.00714349830858547,0.10723716840243021,0.5029470779312348,0.004906312,0.0069181004549778895,-0.0065107066,0.7091993,-0.009180362417165387,1234.0,0.25373792670128126,-0.26291828911844667,0.0,0.0,1981.0,39946.0,39937.0,1739.9904371028003,11008.567010219907,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_10%/LoadD_0p2/Tau_0.01/all.csv
100.0,0.1,10.0,0.2,0p2,False,-0.005236544,-0.007353600818754397,0.10723716840243021,0.05029470779312349,0.004820586,0.006769477188862727,-0.011805495,0.7121061,-0.01657828096122193,1255.0,0.2523421720443063,-0.26892045300552825,0.0,0.0,2007.0,39944.0,39932.0,1762.3778254392148,11168.962416191043,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_10%/LoadD_0p2/Tau_0.1/all.csv
100.0,0.0001,10.0,0.25,0p25,False,,,0.10723716840243021,50.29470779312352,0.011296842,0.01344411124934516,0.011978574,0.8402818,0.014255424787255895,1586.0,0.21605203159225872,-0.20179660680500283,0.017499845,0.020826162127990874,2834.0,39945.0,39922.0,1887.4620395205513,15610.48996282401,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_10%/LoadD_0p25/Tau_0.0001/all.csv
100.0,0.001,10.0,0.25,0p25,False,,,0.10723716840243021,5.029470779312351,0.011227107,0.013354139678426056,0.011067893,0.8407211,0.013164761774148407,1586.0,0.2159189652787351,-0.2027542035045867,0.017743558,0.021105165553713355,2836.0,39945.0,39922.0,1886.475788463023,15622.966046546193,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_10%/LoadD_0p25/Tau_0.001/all.csv
100.0,0.01,10.0,0.25,0p25,False,,,0.10723716840243021,0.5029470779312348,0.011033788,0.013048552949878733,-0.0015610912,0.84559476,-0.0018461457826441593,1561.0,0.21424116913874913,-0.2160873149213933,0.014375966,0.01700101121724075,2829.0,39946.0,39920.0,1846.0379295633288,15615.925727146558,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_10%/LoadD_0p25/Tau_0.01/all.csv
